Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","50","Cyprus","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","46.74","Fc","Calculated data"
"FBS","New Food Balances","167","Czechia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","71.32","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","8.75","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","92.97","Fc","Calculated data"
"FBS","New Food Balances","72","Djibouti","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","13.36","Fc","Calculated data"
"FBS","New Food Balances","55","Dominica","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","43.15","Fc","Calculated data"
"FBS","New Food Balances","56","Dominican Republic","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","32.6","Fc","Calculated data"
"FBS","New Food Balances","58","Ecuador","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","37.38","Fc","Calculated data"
"FBS","New Food Balances","59","Egypt","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","18.18","Fc","Calculated data"
"FBS","New Food Balances","60","El Salvador","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","29.94","Fc","Calculated data"
"FBS","New Food Balances","63","Estonia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","70.72","Fc","Calculated data"
"FBS","New Food Balances","209","Eswatini","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","18.08","Fc","Calculated data"
"FBS","New Food Balances","238","Ethiopia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","5.99","Fc","Calculated data"
"FBS","New Food Balances","66","Fiji","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","38.2","Fc","Calculated data"
"FBS","New Food Balances","67","Finland","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","102.54","Fc","Calculated data"
"FBS","New Food Balances","68","France","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","95.42","Fc","Calculated data"
"FBS","New Food Balances","70","French Polynesia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","63.05","Fc","Calculated data"
"FBS","New Food Balances","74","Gabon","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","21.67","Fc","Calculated data"
"FBS","New Food Balances","75","Gambia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","9.72","Fc","Calculated data"
"FBS","New Food Balances","73","Georgia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","35.4","Fc","Calculated data"
"FBS","New Food Balances","79","Germany","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","83.39","Fc","Calculated data"
"FBS","New Food Balances","81","Ghana","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","6.2","Fc","Calculated data"
"FBS","New Food Balances","84","Greece","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","54.07","Fc","Calculated data"
"FBS","New Food Balances","86","Grenada","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","36.45","Fc","Calculated data"
"FBS","New Food Balances","89","Guatemala","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","18.75","Fc","Calculated data"
