"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"2924","Alcoholic Beverages","2659","Alcohol, Non-Food","1","","","",""
"2924","Alcoholic Beverages","2656","Beer","1","","","",""
"2924","Alcoholic Beverages","2658","Beverages, Alcoholic","1","","","",""
"2924","Alcoholic Beverages","2657","Beverages, Fermented","1","","","",""
"2924","Alcoholic Beverages","2655","Wine","1","","","",""
"2946","Animal fats","2740","Butter, Ghee","1","","","",""
"2946","Animal fats","2743","Cream","1","","","",""
"2946","Animal fats","2737","Fats, Animals, Raw","1","","","",""
"2946","Animal fats","2781","Fish, Body Oil","1","","","",""
"2946","Animal fats","2782","Fish, Liver Oil","1","","","",""
"2941","Animal Products","2769","Aquatic Animals, Others","1","","","",""
"2941","Animal Products","2775","Aquatic Plants","1","","","",""
"2941","Animal Products","2731","Bovine Meat","1","","","",""
"2941","Animal Products","2740","Butter, Ghee","1","","","",""
"2941","Animal Products","2766","Cephalopods","1","","","",""
"2941","Animal Products","2743","Cream","1","","","",""
"2941","Animal Products","2765","Crustaceans","1","","","",""
"2941","Animal Products","2762","Demersal Fish","1","","","",""
"2941","Animal Products","2744","Eggs","1","","","",""
"2941","Animal Products","2737","Fats, Animals, Raw","1","","","",""
"2941","Animal Products","2781","Fish, Body Oil","1","","","",""
"2941","Animal Products","2782","Fish, Liver Oil","1","","","",""
"2941","Animal Products","2761","Freshwater Fish","1","","","",""
"2941","Animal Products","2764","Marine Fish, Other","1","","","",""
"2941","Animal Products","2768","Meat, Aquatic Mammals","1","","","",""
"2941","Animal Products","2735","Meat, Other","1","","","",""
"2941","Animal Products","2848","Milk - Excluding Butter","1","","","",""
"2941","Animal Products","2767","Molluscs, Other","1","","","",""
"2941","Animal Products","2732","Mutton & Goat Meat","1","","","",""
"2941","Animal Products","2736","Offals, Edible","1","","","",""
"2941","Animal Products","2763","Pelagic Fish","1","","","",""
"2941","Animal Products","2733","Pigmeat","1","","","",""
"2941","Animal Products","2734","Poultry Meat","1","","","",""
"2961","Aquatic Products, Other","2769","Aquatic Animals, Others","1","","","",""
"2961","Aquatic Products, Other","2775","Aquatic Plants","1","","","",""
"2961","Aquatic Products, Other","2768","Meat, Aquatic Mammals","1","","","",""
"2905","Cereals - Excluding Beer","2513","Barley and products","1","","","",""
"2905","Cereals - Excluding Beer","2520","Cereals, Other","1","","","",""
"2905","Cereals - Excluding Beer","2514","Maize and products","1","","","",""
"2905","Cereals - Excluding Beer","2517","Millet and products","1","","","",""
"2905","Cereals - Excluding Beer","2516","Oats","1","","","",""
"2905","Cereals - Excluding Beer","2805","Rice (Milled Equivalent)","1","","","",""
"2905","Cereals - Excluding Beer","2515","Rye and products","1","","","",""
"2905","Cereals - Excluding Beer","2518","Sorghum and products","1","","","",""
"2905","Cereals - Excluding Beer","2511","Wheat and products","1","","","",""
"2949","Eggs","2744","Eggs","1","","","",""
"2960","Fish, Seafood","2766","Cephalopods","1","","","",""
"2960","Fish, Seafood","2765","Crustaceans","1","","","",""
"2960","Fish, Seafood","2762","Demersal Fish","1","","","",""
"2960","Fish, Seafood","2761","Freshwater Fish","1","","","",""
"2960","Fish, Seafood","2764","Marine Fish, Other","1","","","",""
"2960","Fish, Seafood","2767","Molluscs, Other","1","","","",""
"2960","Fish, Seafood","2763","Pelagic Fish","1","","","",""
"2919","Fruits - Excluding Wine","2617","Apples and products","1","","","",""
"2919","Fruits - Excluding Wine","2615","Bananas","1","","","",""
"2919","Fruits - Excluding Wine","2614","Citrus, Other","1","","","",""
"2919","Fruits - Excluding Wine","2619","Dates","1","","","",""
"2919","Fruits - Excluding Wine","2625","Fruits, Other","1","","","",""
"2919","Fruits - Excluding Wine","2613","Grapefruit and products","1","","","",""
"2919","Fruits - Excluding Wine","2620","Grapes and products (excl wine)","1","","","",""
"2919","Fruits - Excluding Wine","2612","Lemons, Limes and products","1","","","",""
"2919","Fruits - Excluding Wine","2611","Oranges, Mandarines","1","","","",""
"2919","Fruits - Excluding Wine","2618","Pineapples and products","1","","","",""
"2919","Fruits - Excluding Wine","2616","Plantains","1","","","",""
"2901","Grand Total","2659","Alcohol, Non-Food","1","","","",""
"2901","Grand Total","2617","Apples and products","1","","","",""
"2901","Grand Total","2769","Aquatic Animals, Others","1","","","",""
"2901","Grand Total","2775","Aquatic Plants","1","","","",""
"2901","Grand Total","2615","Bananas","1","","","",""
"2901","Grand Total","2513","Barley and products","1","","","",""
"2901","Grand Total","2546","Beans","1","","","",""
"2901","Grand Total","2656","Beer","1","","","",""
"2901","Grand Total","2658","Beverages, Alcoholic","1","","","",""
"2901","Grand Total","2657","Beverages, Fermented","1","","","",""
"2901","Grand Total","2731","Bovine Meat","1","","","",""
"2901","Grand Total","2740","Butter, Ghee","1","","","",""
"2901","Grand Total","2532","Cassava and products","1","","","",""
"2901","Grand Total","2766","Cephalopods","1","","","",""
"2901","Grand Total","2520","Cereals, Other","1","","","",""
"2901","Grand Total","2614","Citrus, Other","1","","","",""
"2901","Grand Total","2642","Cloves","1","","","",""
"2901","Grand Total","2633","Cocoa Beans and products","1","","","",""
"2901","Grand Total","2578","Coconut Oil","1","","","",""
"2901","Grand Total","2560","Coconuts - Incl Copra","1","","","",""
"2901","Grand Total","2630","Coffee and products","1","","","",""
"2901","Grand Total","2559","Cottonseed","1","","","",""
"2901","Grand Total","2575","Cottonseed Oil","1","","","",""
"2901","Grand Total","2743","Cream","1","","","",""
"2901","Grand Total","2765","Crustaceans","1","","","",""
"2901","Grand Total","2619","Dates","1","","","",""
"2901","Grand Total","2762","Demersal Fish","1","","","",""
"2901","Grand Total","2744","Eggs","1","","","",""
"2901","Grand Total","2737","Fats, Animals, Raw","1","","","",""
"2901","Grand Total","2781","Fish, Body Oil","1","","","",""
"2901","Grand Total","2782","Fish, Liver Oil","1","","","",""
"2901","Grand Total","2761","Freshwater Fish","1","","","",""
"2901","Grand Total","2625","Fruits, Other","1","","","",""
"2901","Grand Total","2613","Grapefruit and products","1","","","",""
"2901","Grand Total","2620","Grapes and products (excl wine)","1","","","",""
"2901","Grand Total","2572","Groundnut Oil","1","","","",""
"2901","Grand Total","2556","Groundnuts (Shelled Eq)","1","","","",""
"2901","Grand Total","2745","Honey","1","","","",""
"2901","Grand Total","2680","Infant food","1","","","",""
"2901","Grand Total","2612","Lemons, Limes and products","1","","","",""
"2901","Grand Total","2514","Maize and products","1","","","",""
"2901","Grand Total","2582","Maize Germ Oil","1","","","",""
"2901","Grand Total","2764","Marine Fish, Other","1","","","",""
"2901","Grand Total","2768","Meat, Aquatic Mammals","1","","","",""
"2901","Grand Total","2735","Meat, Other","1","","","",""
"2901","Grand Total","2848","Milk - Excluding Butter","1","","","",""
"2901","Grand Total","2517","Millet and products","1","","","",""
"2901","Grand Total","2899","Miscellaneous","1","","","",""
"2901","Grand Total","2767","Molluscs, Other","1","","","",""
"2901","Grand Total","2732","Mutton & Goat Meat","1","","","",""
"2901","Grand Total","2551","Nuts and products","1","","","",""
"2901","Grand Total","2516","Oats","1","","","",""
"2901","Grand Total","2736","Offals, Edible","1","","","",""
"2901","Grand Total","2586","Oilcrops Oil, Other","1","","","",""
"2901","Grand Total","2570","Oilcrops, Other","1","","","",""
"2901","Grand Total","2580","Olive Oil","1","","","",""
"2901","Grand Total","2563","Olives (including preserved)","1","","","",""
"2901","Grand Total","2602","Onions","1","","","",""
"2901","Grand Total","2611","Oranges, Mandarines","1","","","",""
"2901","Grand Total","2562","Palm kernels","1","","","",""
"2901","Grand Total","2577","Palm Oil","1","","","",""
"2901","Grand Total","2576","Palmkernel Oil","1","","","",""
"2901","Grand Total","2547","Peas","1","","","",""
"2901","Grand Total","2763","Pelagic Fish","1","","","",""
"2901","Grand Total","2640","Pepper","1","","","",""
"2901","Grand Total","2733","Pigmeat","1","","","",""
"2901","Grand Total","2641","Pimento","1","","","",""
"2901","Grand Total","2618","Pineapples and products","1","","","",""
"2901","Grand Total","2616","Plantains","1","","","",""
"2901","Grand Total","2531","Potatoes and products","1","","","",""
"2901","Grand Total","2734","Poultry Meat","1","","","",""
"2901","Grand Total","2549","Pulses, Other and products","1","","","",""
"2901","Grand Total","2574","Rape and Mustard Oil","1","","","",""
"2901","Grand Total","2558","Rape and Mustardseed","1","","","",""
"2901","Grand Total","2805","Rice (Milled Equivalent)","1","","","",""
"2901","Grand Total","2581","Ricebran Oil","1","","","",""
"2901","Grand Total","2534","Roots, Other","1","","","",""
"2901","Grand Total","2515","Rye and products","1","","","",""
"2901","Grand Total","2561","Sesame seed","1","","","",""
"2901","Grand Total","2579","Sesameseed Oil","1","","","",""
"2901","Grand Total","2518","Sorghum and products","1","","","",""
"2901","Grand Total","2571","Soyabean Oil","1","","","",""
"2901","Grand Total","2555","Soyabeans","1","","","",""
"2901","Grand Total","2645","Spices, Other","1","","","",""
"2901","Grand Total","2542","Sugar (Raw Equivalent)","1","","","",""
"2901","Grand Total","2537","Sugar beet","1","","","",""
"2901","Grand Total","2536","Sugar cane","1","","","",""
"2901","Grand Total","2541","Sugar non-centrifugal","1","","","",""
"2901","Grand Total","2557","Sunflower seed","1","","","",""
"2901","Grand Total","2573","Sunflowerseed Oil","1","","","",""
"2901","Grand Total","2533","Sweet potatoes","1","","","",""
"2901","Grand Total","2543","Sweeteners, Other","1","","","",""
"2901","Grand Total","2635","Tea (including mate)","1","","","",""
"2901","Grand Total","2601","Tomatoes and products","1","","","",""
"2901","Grand Total","2605","Vegetables, Other","1","","","",""
"2901","Grand Total","2511","Wheat and products","1","","","",""
"2901","Grand Total","2655","Wine","1","","","",""
"2901","Grand Total","2535","Yams","1","","","",""
"2943","Meat","2731","Bovine Meat","1","","","",""
"2943","Meat","2735","Meat, Other","1","","","",""
"2943","Meat","2732","Mutton & Goat Meat","1","","","",""
"2943","Meat","2733","Pigmeat","1","","","",""
"2943","Meat","2734","Poultry Meat","1","","","",""
"2948","Milk - Excluding Butter","2848","Milk - Excluding Butter","1","","","",""
"2928","Miscellaneous","2680","Infant food","1","","","",""
"2928","Miscellaneous","2899","Miscellaneous","1","","","",""
"2945","Offals","2736","Offals, Edible","1","","","",""
"2913","Oilcrops","2560","Coconuts - Incl Copra","1","","","",""
"2913","Oilcrops","2559","Cottonseed","1","","","",""
"2913","Oilcrops","2556","Groundnuts (Shelled Eq)","1","","","",""
"2913","Oilcrops","2570","Oilcrops, Other","1","","","",""
"2913","Oilcrops","2563","Olives (including preserved)","1","","","",""
"2913","Oilcrops","2562","Palm kernels","1","","","",""
"2913","Oilcrops","2558","Rape and Mustardseed","1","","","",""
"2913","Oilcrops","2561","Sesame seed","1","","","",""
"2913","Oilcrops","2555","Soyabeans","1","","","",""
"2913","Oilcrops","2557","Sunflower seed","1","","","",""
"2911","Pulses","2546","Beans","1","","","",""
"2911","Pulses","2547","Peas","1","","","",""
"2911","Pulses","2549","Pulses, Other and products","1","","","",""
"2923","Spices","2642","Cloves","1","","","",""
"2923","Spices","2640","Pepper","1","","","",""
"2923","Spices","2641","Pimento","1","","","",""
"2923","Spices","2645","Spices, Other","1","","","",""
"2907","Starchy Roots","2532","Cassava and products","1","","","",""
"2907","Starchy Roots","2531","Potatoes and products","1","","","",""
"2907","Starchy Roots","2534","Roots, Other","1","","","",""
"2907","Starchy Roots","2533","Sweet potatoes","1","","","",""
"2907","Starchy Roots","2535","Yams","1","","","",""
"2922","Stimulants","2633","Cocoa Beans and products","1","","","",""
"2922","Stimulants","2630","Coffee and products","1","","","",""
"2922","Stimulants","2635","Tea (including mate)","1","","","",""
"2909","Sugar & Sweeteners","2745","Honey","1","","","",""
"2909","Sugar & Sweeteners","2542","Sugar (Raw Equivalent)","1","","","",""
"2909","Sugar & Sweeteners","2541","Sugar non-centrifugal","1","","","",""
"2909","Sugar & Sweeteners","2543","Sweeteners, Other","1","","","",""
"2908","Sugar Crops","2537","Sugar beet","1","","","",""
"2908","Sugar Crops","2536","Sugar cane","1","","","",""
"2912","Treenuts","2551","Nuts and products","1","","","",""
"2914","Vegetable Oils","2578","Coconut Oil","1","","","",""
"2914","Vegetable Oils","2575","Cottonseed Oil","1","","","",""
