Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","54","Denmark","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","72","Djibouti","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","10.21","Fc","Calculated data"
"FBS","New Food Balances","55","Dominica","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","13.34","Fc","Calculated data"
"FBS","New Food Balances","56","Dominican Republic","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1.43","Fc","Calculated data"
"FBS","New Food Balances","58","Ecuador","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1.72","Fc","Calculated data"
"FBS","New Food Balances","59","Egypt","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.28","Fc","Calculated data"
"FBS","New Food Balances","60","El Salvador","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.86","Fc","Calculated data"
"FBS","New Food Balances","63","Estonia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.1","Fc","Calculated data"
"FBS","New Food Balances","209","Eswatini","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","7.13","Fc","Calculated data"
"FBS","New Food Balances","238","Ethiopia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.13","Fc","Calculated data"
"FBS","New Food Balances","66","Fiji","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.78","Fc","Calculated data"
"FBS","New Food Balances","67","Finland","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","17.45","Fc","Calculated data"
"FBS","New Food Balances","68","France","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.62","Fc","Calculated data"
"FBS","New Food Balances","70","French Polynesia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","44.26","Fc","Calculated data"
"FBS","New Food Balances","74","Gabon","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.51","Fc","Calculated data"
"FBS","New Food Balances","75","Gambia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.9","Fc","Calculated data"
"FBS","New Food Balances","73","Georgia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","9.57","Fc","Calculated data"
"FBS","New Food Balances","79","Germany","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","81","Ghana","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.82","Fc","Calculated data"
"FBS","New Food Balances","84","Greece","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","1.13","Fc","Calculated data"
"FBS","New Food Balances","86","Grenada","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","13.52","Fc","Calculated data"
"FBS","New Food Balances","89","Guatemala","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.32","Fc","Calculated data"
"FBS","New Food Balances","90","Guinea","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.61","Fc","Calculated data"
"FBS","New Food Balances","175","Guinea-Bissau","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","4.16","Fc","Calculated data"
"FBS","New Food Balances","91","Guyana","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.3","Fc","Calculated data"
"FBS","New Food Balances","93","Haiti","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","2.96","Fc","Calculated data"
"FBS","New Food Balances","95","Honduras","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","6.53","Fc","Calculated data"
"FBS","New Food Balances","97","Hungary","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.06","Fc","Calculated data"
"FBS","New Food Balances","99","Iceland","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","27.58","Fc","Calculated data"
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","101","Indonesia","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.03","Fc","Calculated data"
"FBS","New Food Balances","102","Iran (Islamic Republic of)","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","0.01","Fc","Calculated data"
"FBS","New Food Balances","103","Iraq","645","Food supply quantity (kg/capita/yr)","2928","Miscellaneous","2017","2017","kg","3.01","Fc","Calculated data"
