Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","167","Czechia","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","920","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","127","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1201","Fc","Calculated data"
"FBS","New Food Balances","72","Djibouti","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","199","Fc","Calculated data"
"FBS","New Food Balances","55","Dominica","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","644","Fc","Calculated data"
"FBS","New Food Balances","56","Dominican Republic","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","497","Fc","Calculated data"
"FBS","New Food Balances","58","Ecuador","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","504","Fc","Calculated data"
"FBS","New Food Balances","59","Egypt","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","279","Fc","Calculated data"
"FBS","New Food Balances","60","El Salvador","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","425","Fc","Calculated data"
"FBS","New Food Balances","63","Estonia","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","995","Fc","Calculated data"
"FBS","New Food Balances","209","Eswatini","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","269","Fc","Calculated data"
"FBS","New Food Balances","238","Ethiopia","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","93","Fc","Calculated data"
"FBS","New Food Balances","66","Fiji","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","498","Fc","Calculated data"
"FBS","New Food Balances","67","Finland","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1283","Fc","Calculated data"
"FBS","New Food Balances","68","France","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1209","Fc","Calculated data"
"FBS","New Food Balances","70","French Polynesia","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","881","Fc","Calculated data"
"FBS","New Food Balances","74","Gabon","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","380","Fc","Calculated data"
"FBS","New Food Balances","75","Gambia","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","190","Fc","Calculated data"
"FBS","New Food Balances","73","Georgia","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","506","Fc","Calculated data"
"FBS","New Food Balances","79","Germany","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1093","Fc","Calculated data"
"FBS","New Food Balances","81","Ghana","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","129","Fc","Calculated data"
"FBS","New Food Balances","84","Greece","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","770","Fc","Calculated data"
"FBS","New Food Balances","86","Grenada","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","589","Fc","Calculated data"
"FBS","New Food Balances","89","Guatemala","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","283","Fc","Calculated data"
"FBS","New Food Balances","90","Guinea","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","135","Fc","Calculated data"
"FBS","New Food Balances","175","Guinea-Bissau","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","174","Fc","Calculated data"
"FBS","New Food Balances","91","Guyana","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","520","Fc","Calculated data"
"FBS","New Food Balances","93","Haiti","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","164","Fc","Calculated data"
"FBS","New Food Balances","95","Honduras","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","344","Fc","Calculated data"
"FBS","New Food Balances","97","Hungary","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1056","Fc","Calculated data"
"FBS","New Food Balances","99","Iceland","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1617","Fc","Calculated data"
