"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Lao People's Democratic Republic",0.7883,0.0979,3.6579,6e-04,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,0.3404,0.1581,0.3584,0.1485,0.1317,3.4835,0.9869,1.1101,1.9254,0.0028,0.2149,11.641,46.3416,4.5,"16.5",0.000266292922214436,0,0.000196215837421163,7.00770847932726e-05,7135000,"%"
"Latvia",5.4573,1.1805,18.8216,5e-04,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,0.2596,0.1686,0.1107,0.0032,0.0122,6.5835,0.1963,2.6169,0,0.0793,0.699,6.1946,31.1757,25.7,"<2.5",0.0548353371667538,0.00115002613695766,0.0372190277051751,0.016466283324621,1913000,"%"
"Lebanon",0.7164,0.0796,8.0679,0,11.8253,0.173,0.7091,6.9852,1.9469,5.0748,0.0747,0.0853,0.5052,0.5011,0.0406,3.2676,0.3647,5.1366,0,0.5271,1.4807,10.5128,41.9252,31.3,"11",0.0163214702450408,0.000379229871645274,0.0100350058343057,0.00590723453908985,6856000,"%"
"Lesotho",3.4135,0.0233,6.0914,0,23.4645,0.1204,0.2383,1.8065,2.529,2.7893,0.3898,0.3924,0.0725,1.1603,0.1165,7.1935,0.0363,2.2079,0,0.0052,0.6786,3.3721,43.8988,13.5,"13.1",9.41176470588235e-05,0,0,9.41176470588235e-05,2125000,"%"
"Liberia",1.0338,0.0264,3.7603,0,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,0.2997,0.2311,0.4159,0.0977,0.0013,15.3608,0.0132,1.1236,1.1804,0.0779,1.9567,3.1728,46.2383,8.6,"37.2",0.00536763216528256,0.000526635608669232,0.00285598541624468,0.00198501114036864,4937000,"%"
"Lithuania",5.5419,0.5316,23.049,9e-04,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,0.0126,0.1301,0.0867,0.4388,0.0546,2.2766,0.2164,4.502,0,0.055,0.4924,4.4045,26.9471,28.4,"<2.5",0.0586652314316469,0.00226049515608181,0.040832436311446,0.0155722999641191,2787000,"%"
"Luxembourg",8.0858,0.5443,14.6038,0.0051,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,0.3877,0.1036,0.1658,0.0399,0.0586,2.2067,1.2823,8.1121,0,0.0308,0.563,4.8536,35.3838,24.2,"<2.5",0.644032258064516,0.017741935483871,0.609838709677419,0.0164516129032258,620000,"%"
"Madagascar",0.7972,0.0415,4.9125,0.0024,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,0.0782,0.2002,0.1848,0.3708,0.0486,14.4675,0.2085,1.0922,0.5852,0.0261,0.3115,1.8871,45.0869,4.5,"44.4",0.0020097148577997,7.41592198450072e-06,0.000545070265860803,0.00145722866995439,26969000,"%"
"Malawi",1.1827,0.0814,2.7754,0,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0,0.0161,0.204,3.9786,47.2242,4.7,"17.5",0.000542165440979119,2.14718986526384e-05,0.000177143163884266,0.000343550378442214,18629000,"%"
"Malaysia",0.8948,0.0882,12.6354,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0,0.0835,1.6336,6.1678,37.3632,15.3,"2.5",0.0226452538698745,0.000351112875156474,0.0182548163527005,0.00403932464201753,32753000,"%"
